date;time;open;high;low;close;volume;sar
20.02.2025;12:50:00;8521.2;8521.2;8500.0;8501.9;2514.0;0.0
20.02.2025;13:00:00;8501.9;8510.4;8500.0;8500.0;4456.0;8521.2
20.02.2025;13:10:00;8500.0;8500.0;8487.1;8491.0;5432.0;8510.4
20.02.2025;13:20:00;8491.6;8495.0;8482.1;8491.0;4822.0;8510.4
20.02.2025;13:30:00;8491.5;8491.5;8475.3;8479.4;7830.0;8510.117
20.02.2025;13:40:00;8479.4;8498.8;8453.1;8497.3;12228.0;8509.76883
20.02.2025;13:50:00;8499.0;8506.5;8480.1;8486.8;3930.0;8509.2021417
20.02.2025;14:00:00;8492.2;8492.6;8469.6;8472.4;1991.0;8508.641120283
20.02.2025;14:10:00;8470.4;8476.0;8463.2;8469.8;5742.0;8508.0857090802
20.02.2025;14:20:00;8468.4;8484.2;8465.0;8476.3;4049.0;8507.5358519894
20.02.2025;14:30:00;8472.8;8478.1;8458.6;8465.1;8614.0;8506.9914934695
20.02.2025;14:40:00;8464.1;8471.1;8459.3;8465.0;2063.0;8506.4525785348
20.02.2025;14:50:00;8466.0;8468.0;8453.0;8454.4;2818.0;8505.9190527494
20.02.2025;15:00:00;8454.3;8457.6;8430.3;8448.4;12490.0;8505.3898622219
20.02.2025;15:10:00;8450.0;8452.8;8443.0;8450.2;3174.0;8504.6389635997
20.02.2025;15:20:00;8450.5;8469.7;8444.0;8469.7;5089.0;8503.8955739637
20.02.2025;15:30:00;8469.7;8490.1;8466.9;8472.6;6670.0;8503.1596182241
20.02.2025;15:40:00;8470.7;8479.8;8453.7;8462.0;3921.0;8502.4310220418
20.02.2025;15:50:00;8458.9;8480.0;8457.4;8470.3;2647.0;8501.7097118214
20.02.2025;16:00:00;8470.6;8474.1;8460.0;8460.0;4786.0;8500.9956147032
20.02.2025;16:10:00;8460.0;8470.8;8454.0;8455.0;5486.0;8500.2886585562
20.02.2025;16:20:00;8455.2;8462.0;8446.0;8448.8;3295.0;8499.5887719706
20.02.2025;16:30:00;8451.3;8457.6;8449.5;8454.3;1507.0;8498.8958842509
20.02.2025;16:40:00;8455.3;8455.4;8412.1;8420.0;8739.0;8498.2099254084
20.02.2025;16:50:00;8420.2;8442.4;8407.0;8432.6;9265.0;8497.3488261543
20.02.2025;17:00:00;8430.4;8433.2;8407.0;8411.9;8736.0;8496.4453378928
20.02.2025;17:10:00;8413.3;8430.0;8402.6;8422.3;3054.0;8495.5508845138
20.02.2025;17:20:00;8424.6;8434.8;8382.5;8411.3;16084.0;8494.6213756687
20.02.2025;17:30:00;8411.2;8438.2;8411.0;8420.0;6428.0;8493.500161912
20.02.2025;17:40:00;8420.0;8430.0;8408.0;8408.0;5633.0;8492.3901602929
20.02.2025;17:50:00;8408.0;8420.0;8406.0;8410.7;3513.0;8491.29125869
20.02.2025;18:00:00;8410.7;8426.9;8402.1;8403.4;9969.0;8490.2033461031
20.02.2025;18:10:00;8403.8;8417.7;8403.5;8411.1;1814.0;8489.126312642
20.02.2025;18:20:00;8409.4;8412.3;8388.5;8402.0;8301.0;8488.0600495156
20.02.2025;18:30:00;8402.0;8402.0;8384.0;8386.0;4317.0;8487.0044490205
20.02.2025;18:40:00;8386.0;8390.0;8383.0;8383.0;3256.0;8485.9594045303
20.02.2025;19:00:00;8390.0;8413.1;8383.4;8410.0;1782.0;8484.924810485
20.02.2025;19:10:00;8410.0;8413.2;8374.5;8374.8;2617.0;8483.9005623801
20.02.2025;19:20:00;8374.8;8415.6;8373.8;8403.2;4479.0;8482.8065567563
20.02.2025;19:30:00;8402.0;8406.4;8390.0;8390.0;2358.0;8481.7164911887
20.02.2025;19:40:00;8391.4;8391.4;8372.5;8373.0;5858.0;8480.6373262769
20.02.2025;19:50:00;8373.0;8377.3;8372.0;8372.1;2270.0;8479.5559530141
20.02.2025;20:00:00;8372.2;8375.0;8330.2;8334.5;13980.0;8478.4803934839
20.02.2025;20:10:00;8335.0;8352.8;8334.5;8334.7;7307.0;8476.9975895491
20.02.2025;20:20:00;8335.0;8350.8;8332.0;8350.0;3133.0;8475.5296136536
20.02.2025;20:30:00;8349.0;8372.4;8343.9;8360.9;4985.0;8474.0763175171
20.02.2025;20:40:00;8360.9;8361.2;8353.5;8353.5;1034.0;8472.6375543419
20.02.2025;20:50:00;8356.5;8365.0;8349.1;8357.5;1436.0;8471.2131787985
20.02.2025;21:00:00;8355.3;8371.8;8353.4;8361.5;2282.0;8469.8030470105
20.02.2025;21:10:00;8359.3;8363.7;8342.3;8342.3;1573.0;8468.4070165404
20.02.2025;21:20:00;8342.3;8359.0;8340.5;8359.0;965.0;8467.024946375
20.02.2025;21:30:00;8358.0;8359.0;8350.0;8353.7;2242.0;8465.6566969112
20.02.2025;21:40:00;8352.1;8354.7;8348.4;8351.5;789.0;8464.3021299421
20.02.2025;21:50:00;8353.5;8362.8;8353.5;8362.8;506.0;8462.9611086427
20.02.2025;22:00:00;8362.6;8362.8;8360.0;8360.8;361.0;8461.6334975563
20.02.2025;22:10:00;8361.5;8365.0;8355.5;8355.5;1302.0;8460.3191625807
20.02.2025;22:20:00;8356.5;8363.5;8355.8;8357.6;658.0;8459.0179709549
20.02.2025;22:30:00;8359.1;8359.2;8338.2;8347.6;2834.0;8457.7297912454
20.02.2025;22:40:00;8347.2;8355.9;8346.2;8355.0;484.0;8456.4544933329
20.02.2025;22:50:00;8357.0;8359.8;8354.0;8357.8;636.0;8455.1919483996
20.02.2025;23:00:00;8357.1;8358.5;8354.5;8357.0;256.0;8453.9420289156
20.02.2025;23:10:00;8357.1;8359.0;8354.4;8355.0;204.0;8452.7046086264
20.02.2025;23:20:00;8356.7;8359.0;8354.6;8357.0;681.0;8451.4795625402
20.02.2025;23:30:00;8357.8;8359.0;8357.0;8359.0;256.0;8450.2667669148
20.02.2025;23:40:00;8358.9;8367.0;8358.9;8367.0;828.0;8449.0660992456
21.02.2025;08:50:00;8352.0;8352.0;8352.0;8352.0;78.0;8447.8774382532
21.02.2025;09:00:00;8351.9;8352.0;8254.4;8308.0;24565.0;8446.7006638706
21.02.2025;09:10:00;8308.8;8331.5;8304.3;8316.0;4704.0;8444.7776572319
21.02.2025;09:20:00;8315.0;8316.3;8275.6;8278.7;9776.0;8442.8738806596
21.02.2025;09:30:00;8280.8;8306.9;8279.8;8297.6;4093.0;8440.989141853
21.02.2025;09:40:00;8297.3;8302.7;8281.3;8300.0;3965.0;8439.1232504345
21.02.2025;09:50:00;8300.0;8319.8;8296.0;8316.8;2908.0;8437.2760179301
21.02.2025;10:00:00;8316.8;8355.1;8286.9;8351.4;20030.0;8435.4472577508
21.02.2025;10:10:00;8352.0;8369.0;8336.5;8340.0;18022.0;8433.6367851733
21.02.2025;10:20:00;8340.0;8376.5;8339.9;8365.0;13629.0;8431.8444173216
21.02.2025;10:30:00;8366.4;8371.8;8343.8;8355.2;7133.0;8430.0699731484
21.02.2025;10:40:00;8354.7;8354.7;8337.4;8348.0;5636.0;8428.3132734169
21.02.2025;10:50:00;8347.9;8358.6;8346.6;8354.2;5231.0;8426.5741406827
21.02.2025;11:00:00;8354.3;8357.2;8329.5;8332.2;4013.0;8424.8523992759
21.02.2025;11:10:00;8332.2;8332.8;8303.8;8303.8;11764.0;8423.1478752831
21.02.2025;11:20:00;8303.9;8310.0;8291.0;8309.0;14908.0;8421.4603965303
21.02.2025;11:30:00;8309.0;8332.4;8304.6;8332.3;31186.0;8419.789792565
21.02.2025;11:40:00;8329.9;8333.3;8318.6;8331.6;6232.0;8418.1358946394
21.02.2025;11:50:00;8330.2;8334.6;8312.7;8320.6;1456.0;8416.498535693
21.02.2025;12:00:00;8322.0;8330.0;8304.3;8304.5;3401.0;8414.877550336
21.02.2025;12:10:00;8303.9;8318.6;8297.7;8310.8;4366.0;8413.2727748327
21.02.2025;12:20:00;8312.0;8313.3;8297.0;8305.9;6433.0;8411.6840470843
21.02.2025;12:30:00;8306.5;8333.2;8306.5;8329.3;5356.0;8410.1112066135
